audio,filename,Ladino,Español,Türkçe,English
1.01-me-esto-ambezando-el-Judeo-Espanyol.ogg,1.01.-me-esto-ambezando-el-judeo-espanyol.jpeg,Me esto ambezando el Judeo-Espanyol.,Estoy aprendiendo el judeoespañol.,Judeo-Espanyol öğreniyorum.,I am learning Judeo-Spanish.
1.02-yo-me-alevanto-a-las-siete-kada-dia.ogg,1.02.-yo-me-alevanto-a-las-siete.jpeg,Yo me alevanto a las siete kada dia.,Me levanto a las siete cada día.,Her gün yedide kalkarım.,I get up at seven every day.
1.03.-me-plaze-meldar.ogg,1.03.-me-plaze-meldar.jpeg,Me plaze meldar.,Me gusta leer.,Okumayı severim.,I like reading.
,1.04.-yo-bevo-un-kafe-turko.jpeg,Yo bevo un kafe turko despues de la komida de midi.,Bebo café turco después del almuerzo.,Öğlen yemeğinden sonra Türk kahvesi içerim.,I drink turkish coffee after lunch.
1.05.-yo-tengo-dos-kreaturas.ogg,1.05.-yo-tengo-dos-kreaturas.jpeg,Yo tengo dos kreaturas; una ija i un ijo.,Tengo dos niños; una hija y un hijo.,İki çocuğum var; biri kız biri erkek.,I have two children; a girl and a boy.
1.06.-esto-muy-kansada.ogg,1.06.-esto-muy-kansada.jpeg,Estoy muy kansada.,Estoy muy cansada.,Çok yorgunum.,I am very tired.
2.07.-mi-padre-es-doktor.ogg,7.-mi-padre-es-doktor.jpeg,Mi padre es doktor.,Mi padre es médico.,Babam doktordur.,My father is a doctor.
2.08.-tengo-ser.ogg,8.-tengo-ser.jpeg,Tengo ser; dame una kupa de agua por favor.,Tengo sed; dame un caso de agua por favor.,Susadım; bana bir bardak su ver lütfen.,I'm thirsty; give me a glass of water please.
2.09.-el-telefon-esta-sonando.ogg,9.-el-telefon-esta-sonando.jpeg,El telefon esta sonando.,El teléfono está sonando.,Telefon çalıyor.,The phone is ringing.
2.10.-no-komas-muncho-pan.ogg,10.-no-komas-muncho-pan.jpeg,No komas muncho pan!,¡No comas mucho pan!,Çok ekmek yeme!,Don't eat too much bread!
,11.-mi-ermano-esta-hazino.jpeg,Mi ermano esta hazino.,Mi hermano está enfermo.,(Erkek) Kardeşim hasta.,My brother is ill.
,12.-mi-mujer-esta-prenyada.jpeg,Mi mujer esta prenyada.,Mi mujer está embarasada.,Karım hamile.,My wife is pregnant.
,13.-mi-vizina-esta-mirando-por-la-ventana.jpeg,Mi vizina esta mirando por la ventana.,Mi vecina esta mirando por la ventana.,Komşum (kadın) pencereden bakıyor.,My neighbor is looking out of the window.
,14.-tengo-kalor.jpeg,Tengo kalor; esto sudando.,Tengo calor; estoy sudando.,Çok sıcak; terliyorum.,I'm hot; I'm sweating.
,15-mi-ija-bive-en-paris.jpeg,Mi ija bive en Paris.,Mi hija vive en Paris.,Kızım Paris'te yaşıyor.,My daughter lives in Paris.
,16-me-plazen-filmos-de-amor-300x300.jpeg,Me plazen filmos de amor.,Me gustan películas de amor.,Aşk filmleri hoşuma gider.,I like romantic films.
,17-la-validja-esta-muy-pezgada-300x300.jpeg,La validja esta muy pezgada. ,La maleta está muy pesada.,Valiz çok ağır.,The suitcase is very heavy.
,18.los-elevos-estan-estudiando.jpeg,Los elevos estan estudiando.,Los estudiantes están estudiando.,Öğrenciler dans çalışıyor.,The students are studying.
,19.-tu-kaza-esta-muy-leshos.jpeg,Tu kaza esta muy leshos.,Tu casa está muy lejos.,Evin çok uzakta.,Your house is very far away.
,20.-tu-madre-giza-muy-bueno.jpeg,Tu madre giza muy bueno.,Tu madre cocina muy bien.,Annen çok güzel yemek pişirir.,Your mother cooks very well.
,21-los-amigos-van-a-vinir-esta-noche.jpeg,Los amigos van a vinir esta noche. Ven i tu.,"Los amigos vendrán esta noche. ¡Ven tú, también!",Bu akşam arkadaşlar gelecek. Sen de gel.,"(Some) friends are coming tonight. Why don't you come, too?"
,22.-no-puedo-vinir-esta-noche.jpeg,No puedo vinir esta noche.,No puedo venir ésta noche.,Bu akşam gelemem.,I can't come tonight.
,23-kale-ke-eskape-mi-echo-en-primero.jpeg,Kale ke eskape mi echo en primero.,Primero tengo que acabar mi trabajo.,Önce işimi bitirmeliyim.,I have to finish my work first.
,24-despues-devo-de-ir-al-charshi.jpeg,Despues devo de ir al charsi.,Luego debo ir al mercado.,Sonra çarşıya gitemeliyim.,Then I have to go to the market.
,25-las-botikas-serran-a-las-diez.jpeg,Las botikas serran a las diez.,Las tiendas cierran a las diez.,Dükkanlar onda kapanır.,The shops close at ten.
,26-bueno-vienes-otra-noche-a-tomar-kafe.jpeg,"Bueno, vienes otra noche a tomar kafe.","Bueno, vienes otra noche a tomar café.",Peki başka gece kahveye gelirsin.,"Alright, come another night for coffee."
,27-si-va-ser-muncho-mijor-para-mi.jpeg,"Si, va ser muncho mijor para mi.","Si, será mucho mejor para mi.","Evet, benim için çok daha iyi olacak.",Yes it'll be much better for me.
,28-ande-esta-rashel_-300x300.jpeg,Anda esta Rashel? No esta en kaza.,¿Donde está Rashel? No está en casa.,Raşel nerede? Evde değil.,Where is Rachel? She is not at home.
,29-Rashel-se-fue-a-Paris.jpeg,Rashel se fue a Paris.,Rashel se fue a París.,Raşel Paris'e gitti.,Rachel has gone to Paris.
,30-su-amiga-intima-bive-en-paris.jpeg,Su amiga intima bive en Paris.,Su mejor amiga vive en París.,En iyi arkadaşı Paris'te yaşar.,Her best friend lives in Paris.
